num,stock,big,profit,p,share
1813,寶利徠,0.09,-0.0554 ,30.7,44.98
1815,富喬,-1.6,-0.0087 ,11.45,49.74
1902,台紙,-0.67,-0.0090 ,11.05,61.94
1903,士紙,0.15,-0.0273 ,37.45,83.95
1904,正隆,-0.28,-0.0597 ,12.6,68.38
1905,華紙,-0.47,0.0268 ,8.82,78.31
1906,寶隆,0.2,-0.1411 ,10.65,74.62
1907,永豐餘,-0.6,0.0000 ,12.7,80.39
1909,榮成,-1.91,-0.1821 ,12.35,75.53
2002,中鋼,1.17,0.0019 ,25.9,60.1
2006,東鋼,-0.3,-0.0146 ,23.55,69.96
2007,燁興,0.5,0.0301 ,5.82,49.15
2008,高興昌,0.41,0.0481 ,10.9,81.73
2010,春源,-0.14,0.0220 ,11.6,69.04
2012,春雨,1.7,0.1197 ,14.5,80.09
2013,中鋼構,-0.35,-0.0074 ,27,70.77
2014,中鴻,0.56,-0.0274 ,7.11,53.97
2015,豐興,-0.47,0.0330 ,39.1,83.84
2017,官田鋼,0.32,-0.0451 ,5.93,51.9
2020,美亞,0.1,-0.0604 ,14,73.55
2024,志聯,-0.47,0.0000 ,5.8,49.95
2025,千興,1.05,0.0454 ,9.22,33.62
2027,大成鋼,1.52,0.0275 ,8.97,66.47
2028,威致,-1.17,-0.0756 ,5.01,55.41
2029,盛餘,0.03,0.1602 ,21,75.18
2030,彰源,-0.07,-0.0546 ,3.98,58.1
2031,新光鋼,0.96,0.0202 ,20.2,40.81
2032,新鋼,-0.68,0.0738 ,13.1,55.1
2033,佳大,1.55,0.0234 ,17.5,65.7
2034,允強,-1.3,0.0708 ,24.2,53.18
2035,唐榮公司,0.37,-0.0331 ,43.85,96.47
2049,上銀,0.06,0.0821 ,250.5,65.78
2059,川湖,-0.07,0.3099 ,503,77.74
2061,風青,-3.04,-0.0737 ,17.6,49.37
2062,橋椿,1.64,0.2591 ,62.2,73.86
2063,世鎧精密,0.59,-0.0849 ,29.1,64.14
2101,南港,-0.49,-0.0415 ,32.3,63.47
2102,泰豐,-1.29,0.0168 ,18.2,50.24
2103,台橡,-2,-0.0663 ,33.8,67.9
2104,中橡,-0.73,-0.0016 ,31.8,65.52
2105,正新,1.23,0.0055 ,73.6,88.6
2106,建大,0.86,0.0127 ,63.8,86.11
2107,厚生,-0.08,-0.0415 ,32.3,58.6
2108,南帝,-0.13,0.0290 ,15.95,70.77
2109,華豐,0.57,-0.0668 ,20.95,77.29
2114,鑫永銓,-0.5,0.1171 ,124,63.44
2201,裕隆,-0.04,0.0103 ,44.05,80.77
2204,中華,-0.69,-0.0323 ,27,87.08
2206,三陽,-1.88,-0.0055 ,27.15,79.27
2207,和泰車,-0.18,0.0658 ,477.5,92.53
2208,台船,0.26,0.0405 ,16.7,59.36
2221,大甲,-1.05,0.0182 ,16.75,64.16
2227,裕日車,-0.9,0.0308 ,284.5,94.05
2228,劍麟,-0.84,0.0000 ,118,75.9
2231,為升,0.06,0.1410 ,348,66.76
2231,為升,0.06,0.1410 ,348,66.76
2301,光寶科,-1.97,-0.0119 ,41.5,81.97
2302,麗正,0.68,0.3068 ,8.05,66.46
2303,聯電,2.41,0.1811 ,15.65,72.68
2305,全友,-0.18,0.6753 ,9.75,58.87
2308,台達電,0.71,0.2029 ,207.5,90.57
2311,日月光,1.17,0.2207 ,43.7,90.62
2312,金寶,-2.46,0.1483 ,15.1,65.27
2313,華通,-0.88,0.0565 ,17.75,66.81
2314,台揚,-0.5,-0.0514 ,13.85,32.58
2316,楠梓電,0.56,0.0952 ,14.95,34.64
2317,鴻海,-2.55,-0.0810 ,88.5,75.95
2321,東訊,0.27,-0.0233 ,2.52,49.59
2323,中環,0.46,-0.0113 ,4.36,47.14
2324,仁寶,0.51,0.2714 ,26.7,78.77
2325,矽品,1.69,0.2992 ,55.8,90.88
2327,國巨,1.53,0.4396 ,65.5,87.68
2328,廣宇,-0.34,-0.0388 ,18.6,54.13
2329,華泰,2.12,0.2479 ,15.1,45.61
2330,台積電,0.1,0.1450 ,150,93.82
2331,精英,0.21,-0.1370 ,24.25,74.01
2332,友訊,-1.41,0.0260 ,17.75,44.19
2337,旺宏,-0.69,0.0059 ,6.81,30.09
2338,光罩,0.23,0.0749 ,10.05,43.62
2340,光磊,0.12,0.0683 ,13.3,34.62
2342,茂矽,-0.63,0.0485 ,6.7,23.35
2344,華邦電,1,0.2114 ,10.6,61.64
2345,智邦,-1.35,0.0455 ,16.1,47.51
2347,聯強,0.87,0.0437 ,45.4,85.15
2349,錸德,0,0.0979 ,3.7,29.59
2351,順德,-2.27,0.1472 ,45.6,74.72
2352,佳世達,-0.06,0.0216 ,14.2,50.04
2353,宏碁,2.56,0.0122 ,20.7,39.83
2354,鴻準,2.08,-0.0098 ,80.6,72.95
2355,敬鵬,2.03,0.1777 ,57,72.5
2356,英業達,-1.19,0.1157 ,24.1,80.52
2357,華碩,1.12,0.0621 ,325,75.59
2358,美格,0.47,-0.0722 ,12.2,38.3
2359,所羅門,-0.2,-0.0215 ,18.2,62.25
2360,致茂,0.05,-0.0556 ,79.8,86.47
2362,藍天,-1.2,-0.1017 ,48.6,78.76
2363,矽統,-0.3,0.0452 ,8.79,42.44
2364,倫飛,0.29,-0.2403 ,3.13,19.93
2365,昆盈,0.29,0.0616 ,11.2,46.68
2367,燿華,2.78,0.2033 ,14.8,53.75
2368,金像電,2.65,0.6154 ,21,66.74
2369,菱生,-2.72,0.0236 ,15.15,38.81
2371,大同,-1.29,0.0023 ,8.54,61.8
2373,震旦行,0.02,0.0700 ,53.5,87.55
2374,佳能,1.25,0.2328 ,18.8,44.01
2375,智寶,2.95,0.2436 ,14.55,38.3
2376,技嘉,1.62,0.1070 ,39.3,68.27
2377,微星,0.6,-0.0387 ,37.3,71.83
2379,瑞昱,-1.45,0.0439 ,99.8,69.72
2380,虹光,0.28,0.0980 ,9.19,58.61
2382,廣達,0.05,0.0385 ,78.2,93.85
2383,台光電,4.07,0.2782 ,46.4,65.03
2384,勝華,-1.18,-0.2112 ,1.83,27.67
2385,群光,0.46,0.0057 ,87.5,85.9
2387,精元,-5.04,0.2840 ,20.8,71.01
2388,威盛,1.13,-0.4061 ,10.75,70.19
2390,云辰,1.27,0.2582 ,36.3,62.05
2392,正崴,1.13,0.0774 ,55.7,53.3
2393,億光,6.8,0.3037 ,77.7,69.82
2395,研華,0.39,0.2835 ,253.5,88.42
2397,友通,-1.05,0.1183 ,38.75,65.75
2399,映泰,-0.05,0.0091 ,11.05,50.17
2401,凌陽,0.37,0.1631 ,13.55,46.51
2402,毅嘉,-6.65,0.0016 ,31.6,47.73
2404,漢唐,1.09,0.1568 ,33.2,47.15
2405,浩鑫,-0.06,0.0131 ,8.51,39.67
2406,國碩,-0.44,-0.0361 ,25.4,33.72
2408,南科,-0.02,0.2345 ,79.5,95.31
2409,友達,2.91,0.0369 ,15.45,75.29
2412,中華電,0.96,0.0629 ,98,80.72
2413,環科,-0.2,0.4306 ,15.45,54.63
2414,精技,1.82,0.1188 ,19.3,58.26
2415,錩新,0.39,0.2703 ,21.85,62.66
2417,圓剛,2.19,0.1765 ,13,34.43
2419,仲琦,-0.26,0.0158 ,16.1,30.73
2420,新巨,0.23,0.3750 ,47.3,63.69
2421,建準,0.19,0.0302 ,20.5,57.93
2423,固緯,-0.26,-0.0454 ,21.05,66.16
2424,隴華,0.77,0.0013 ,39.2,74.03
2425,承啟,-1.08,-0.0670 ,29.25,69.64
2426,鼎元,2.26,0.1770 ,13.3,28
2427,三商電,0.15,0.1261 ,8.93,61.97
2428,興勤,-0.17,0.1083 ,48.1,61.97
2430,燦坤,0.19,0.0207 ,32,68.92
2431,聯昌,2.52,0.2774 ,27.4,47.89
2433,互盛電,0.87,0.0586 ,45.15,81.02
2434,統懋,0.05,-0.0435 ,7.47,58.08
2436,偉詮電,-2.73,0.3058 ,34.8,38.19
2437,旺詮,0,0.0223 ,59.6,52.42
2438,英誌,-1.15,0.2556 ,11.3,66.66
2439,美律,-0.95,-0.0531 ,107,61.85
2440,太空梭,0.76,-0.0196 ,10,82.47
2442,新美齊,-0.38,0.0070 ,8.62,72.2
2443,新利虹,3.74,0.2381 ,13,48.84
2444,友旺,1.36,0.1558 ,18.55,39.78
2448,晶電,-2.67,0.0962 ,58.1,71.88
2449,京元電,0.37,0.2095 ,29.15,78.11
2450,神腦,-0.72,-0.0911 ,50.9,78.36
2451,創見,-0.57,0.0700 ,107,86.22
2453,凌群,-0.8,0.1103 ,15.6,60.32
